rodDer-X,rodDer-Y,rodDer-Z,rodIzq-X,rodIzq-Y,rodIzq-Z,tobDer-Y,tobDer-X,tobDer-Z,tobIzq-X,tobIzq-Y,tobIzq-Z,pecho-X,pecho-Y,caso
3.494140625,3.640625,3.953125,3.713867188,3.665039063,4.026367188,3.58203125,3.943359375,3.958007813,3.704101563,3.630859375,4.021484375,3.616210938,3.811523438,control
3.752929688,3.694335938,3.943359375,3.655273438,3.58203125,4.211914063,3.860351563,3.171875,4.065429688,3.586914063,3.71875,4.021484375,3.665039063,3.71875,control
3.704101563,3.669921875,4.026367188,3.899414063,3.89453125,4.045898438,3.645507813,3.806640625,4.045898438,4.319335938,3.557617188,4.006835938,3.6796875,3.791992188,control
3.513671875,3.752929688,3.93359375,3.655273438,3.728515625,4.03125,3.640625,3.918945313,4.143554688,3.713867188,3.66015625,4.03125,3.630859375,3.821289063,control
3.73828125,3.733398438,4.021484375,3.787109375,3.97265625,3.89453125,3.650390625,3.806640625,4.036132813,3.875,3.665039063,4.275390625,3.655273438,3.791992188,control
3.69921875,3.723632813,4.041015625,3.650390625,3.71875,4.026367188,3.899414063,3.796875,3.987304688,3.733398438,3.665039063,4.153320313,3.713867188,3.704101563,control
3.752929688,3.669921875,4.045898438,3.704101563,3.918945313,3.9140625,3.655273438,3.77734375,4.05078125,3.782226563,3.3671875,4.099609375,3.606445313,3.694335938,control
3.752929688,3.728515625,4.075195313,3.821289063,3.987304688,4.133789063,3.645507813,4.143554688,4.353515625,3.708984375,3.713867188,4.016601563,3.572265625,3.713867188,control
3.713867188,3.733398438,4.01171875,3.7578125,3.528320313,4.24609375,3.650390625,3.787109375,4.080078125,4.255859375,3.801757813,4.24609375,3.577148438,3.733398438,control
3.752929688,3.704101563,4.001953125,3.767578125,3.73828125,3.89453125,3.625976563,3.728515625,4.065429688,3.840820313,3.494140625,4.114257813,3.577148438,3.62109375,ataxia
3.723632813,3.743164063,4.01171875,3.752929688,3.796875,3.9921875,3.674804688,3.713867188,4.060546875,3.708984375,3.596679688,4.006835938,3.591796875,3.577148438,ataxia
3.762695313,3.791992188,4.021484375,3.616210938,3.826171875,3.982421875,3.6796875,3.6796875,4.05078125,3.69921875,3.557617188,4.016601563,3.479492188,3.704101563,ataxia
3.71875,3.767578125,3.997070313,3.596679688,3.7578125,3.958007813,3.689453125,3.66015625,4.060546875,3.69921875,3.54296875,4.16796875,3.616210938,3.733398438,ataxia
3.489257813,3.73828125,3.9140625,3.796875,3.831054688,4.01171875,3.733398438,3.416015625,4.109375,3.73828125,3.533203125,4.119140625,3.552734375,3.669921875,ataxia
3.71875,3.772460938,4.026367188,3.796875,3.81640625,3.948242188,3.69921875,3.625976563,4.065429688,3.713867188,3.586914063,4.001953125,3.547851563,3.733398438,ataxia
3.694335938,3.787109375,4.041015625,3.826171875,3.567382813,3.943359375,3.611328125,3.650390625,4.294921875,3.669921875,3.5234375,3.97265625,3.58203125,3.69921875,ataxia
