rodDer-X,rodDer-Y,rodDer-Z,rodIzq-X,rodIzq-Y,rodIzq-Z,tobDer-Y,tobDer-X,tobDer-Z,tobIzq-X,tobIzq-Y,tobIzq-Z,pecho-X,pecho-Y,caso
3.484375,3.5625,3.982421875,3.694335938,3.77734375,4.021484375,3.5234375,3.54296875,4.036132813,3.640625,3.528320313,4.001953125,3.518554688,3.669921875,1
3.899414063,3.840820313,4.143554688,3.7578125,3.704101563,4.084960938,3.66015625,4.080078125,4.124023438,3.694335938,3.62109375,4.016601563,3.645507813,3.767578125,0
3.645507813,3.73828125,4.021484375,3.791992188,3.821289063,4.041015625,3.665039063,3.689453125,4.080078125,3.875,3.625976563,3.962890625,3.552734375,3.73828125,1
3.694335938,3.704101563,4.006835938,3.801757813,3.958007813,4.03125,3.650390625,3.7578125,4.045898438,4.1484375,3.967773438,3.948242188,3.635742188,3.728515625,0
3.538085938,3.674804688,3.962890625,3.728515625,3.73828125,4.026367188,3.69921875,3.796875,4.319335938,3.733398438,3.674804688,4.192382813,3.6015625,3.748046875,0
3.606445313,3.708984375,4.006835938,3.674804688,3.767578125,4.045898438,3.665039063,3.625976563,4.060546875,3.782226563,3.665039063,4.03125,3.577148438,3.73828125,1
3.66015625,3.743164063,4.01171875,3.811523438,3.787109375,3.967773438,3.655273438,3.635742188,4.05078125,3.9921875,3.767578125,4.12890625,3.557617188,3.752929688,1
3.54296875,3.708984375,3.948242188,3.71875,3.640625,4.055664063,3.684570313,3.821289063,4.348632813,3.733398438,3.655273438,4.202148438,3.606445313,3.743164063,0
3.513671875,3.713867188,4.016601563,3.69921875,3.713867188,4.133789063,3.840820313,3.538085938,4.221679688,3.689453125,3.704101563,4.294921875,3.650390625,3.674804688,0
3.630859375,3.71875,4.05078125,3.967773438,3.806640625,3.879882813,3.66015625,3.62109375,4.080078125,3.5625,3.494140625,3.796875,3.58203125,3.713867188,1
3.684570313,3.708984375,3.997070313,3.831054688,3.689453125,4.08984375,3.630859375,3.791992188,4.05078125,4.221679688,3.635742188,4.182617188,3.630859375,3.831054688,0
3.645507813,3.71875,4.026367188,3.826171875,4.001953125,3.81640625,3.655273438,3.782226563,4.065429688,3.879882813,3.674804688,4.2265625,3.640625,3.728515625,0
3.733398438,3.811523438,4.036132813,3.748046875,3.772460938,3.977539063,3.635742188,3.635742188,3.782226563,3.665039063,3.538085938,4.006835938,3.572265625,3.713867188,1
3.655273438,3.708984375,3.977539063,3.674804688,3.645507813,4.104492188,3.508789063,3.748046875,4.0703125,3.66015625,3.54296875,4.036132813,3.6796875,3.782226563,0
3.533203125,3.787109375,4.055664063,3.879882813,3.821289063,3.8359375,3.650390625,3.640625,4.055664063,3.811523438,3.586914063,4.1875,3.58203125,3.748046875,1
3.557617188,3.669921875,3.9921875,3.811523438,3.81640625,3.962890625,3.591796875,3.567382813,4.104492188,3.694335938,3.591796875,4.01171875,3.528320313,3.704101563,1
3.557617188,3.669921875,3.9921875,3.81640625,3.787109375,3.958007813,3.69921875,3.557617188,4.03125,3.708984375,3.611328125,4.01171875,3.50390625,3.215820313,1
3.743164063,3.635742188,4.060546875,3.831054688,3.938476563,3.884765625,3.635742188,3.81640625,4.036132813,3.923828125,3.411132813,3.997070313,3.655273438,3.782226563,0
4.045898438,3.796875,4.026367188,4.021484375,3.870117188,3.943359375,3.728515625,3.713867188,4.075195313,3.611328125,3.665039063,3.889648438,3.606445313,3.640625,1
3.611328125,3.728515625,4.041015625,3.708984375,3.762695313,4.036132813,3.674804688,3.640625,4.075195313,3.274414063,3.450195313,3.9921875,3.547851563,3.650390625,1
