rodDer-X,rodDer-Y,rodDer-Z,rodIzq-X,rodIzq-Y,rodIzq-Z,tobDer-Y,tobDer-X,tobDer-Z,tobIzq-X,tobIzq-Y,tobIzq-Z,pecho-X,pecho-Y,caso
3.689453125,3.6796875,4.026367188,3.665039063,3.850585938,4.036132813,3.723632813,3.821289063,4.16796875,3.704101563,3.635742188,4.016601563,3.596679688,3.782226563,control
3.708984375,3.591796875,4.065429688,3.733398438,3.938476563,3.870117188,3.640625,3.806640625,4.03125,3.684570313,3.625976563,4.255859375,3.684570313,3.772460938,control
3.66015625,3.689453125,4.021484375,3.606445313,3.918945313,4.03125,3.684570313,3.811523438,4.158203125,3.6796875,3.630859375,4.026367188,3.538085938,3.772460938,control
3.533203125,3.684570313,3.918945313,3.704101563,3.708984375,4.041015625,3.694335938,3.879882813,4.28515625,3.723632813,3.62109375,4.182617188,3.596679688,3.845703125,control
3.567382813,3.586914063,4.060546875,3.73828125,3.962890625,3.821289063,3.650390625,3.806640625,4.05078125,3.611328125,3.674804688,4.299804688,3.689453125,3.772460938,control
3.708984375,3.694335938,4.119140625,3.967773438,3.77734375,4.104492188,3.704101563,3.909179688,4.260742188,3.71875,3.645507813,4.021484375,3.669921875,3.728515625,control
3.450195313,3.611328125,3.93359375,3.552734375,3.494140625,4.314453125,3.743164063,3.079101563,4.40234375,3.435546875,3.396484375,4.16796875,3.6796875,3.69921875,control
3.762695313,3.591796875,4.109375,3.689453125,3.611328125,4.021484375,3.538085938,3.884765625,3.845703125,3.694335938,3.640625,4.021484375,3.630859375,3.806640625,control
3.77734375,3.694335938,4.036132813,3.762695313,3.831054688,4.34375,3.66015625,3.791992188,4.124023438,3.630859375,3.62109375,4.036132813,3.552734375,3.728515625,control
3.50390625,3.6796875,3.904296875,3.708984375,3.71875,4.05078125,3.73828125,3.821289063,4.319335938,3.723632813,3.6796875,4.104492188,3.645507813,3.77734375,control
3.572265625,3.694335938,4.026367188,3.572265625,3.889648438,3.850585938,3.645507813,3.81640625,4.036132813,3.7578125,3.596679688,4.387695313,3.66015625,3.796875,control
3.865234375,3.801757813,3.89453125,3.572265625,3.77734375,4.119140625,3.962890625,3.059570313,4.319335938,3.826171875,3.538085938,3.811523438,3.655273438,3.743164063,control
3.743164063,3.674804688,4.016601563,3.865234375,3.58203125,4.255859375,3.66015625,3.787109375,4.138671875,3.606445313,3.616210938,4.001953125,3.557617188,3.787109375,control
3.694335938,3.73828125,4.109375,3.6796875,3.743164063,4.045898438,3.572265625,4.001953125,4.3046875,3.6796875,3.62109375,4.01171875,3.625976563,3.767578125,control
3.572265625,3.71875,4.03125,3.728515625,3.733398438,4.12890625,3.684570313,3.235351563,3.928710938,3.689453125,3.665039063,4.036132813,3.704101563,3.704101563,control
3.420898438,3.572265625,3.982421875,3.772460938,3.7578125,4.026367188,3.611328125,3.982421875,3.9921875,3.708984375,3.640625,4.016601563,3.611328125,3.767578125,control
3.787109375,3.713867188,4.041015625,3.748046875,3.85546875,4.021484375,3.645507813,3.811523438,4.036132813,3.69921875,3.635742188,4.001953125,3.669921875,3.743164063,control
3.640625,3.606445313,4.016601563,3.723632813,3.689453125,4.016601563,3.518554688,3.89453125,4.05078125,3.69921875,3.625976563,4.016601563,3.591796875,3.791992188,control
3.713867188,3.645507813,4.0703125,3.928710938,3.875,3.904296875,3.655273438,3.801757813,4.045898438,3.420898438,3.684570313,3.948242188,3.665039063,3.762695313,control
3.723632813,3.674804688,4.016601563,3.728515625,3.958007813,3.9921875,3.665039063,3.791992188,4.1484375,3.694335938,3.62109375,4.01171875,3.577148438,3.801757813,control
3.528320313,3.655273438,3.982421875,3.708984375,3.762695313,4.0703125,3.821289063,3.552734375,4.250976563,3.704101563,3.69921875,4.2265625,3.630859375,3.71875,control
3.733398438,3.811523438,4.138671875,3.7578125,3.767578125,4.041015625,3.611328125,3.953125,4.006835938,3.704101563,3.635742188,4.01171875,3.616210938,3.791992188,control
3.909179688,3.77734375,3.938476563,3.71875,3.928710938,3.899414063,3.645507813,3.518554688,4.094726563,3.489257813,3.630859375,3.85546875,3.66015625,3.73828125,control
3.533203125,3.669921875,3.948242188,3.71875,3.669921875,4.026367188,3.591796875,3.884765625,4.08984375,3.723632813,3.625976563,4.021484375,3.630859375,3.801757813,control
3.73828125,4.055664063,4.060546875,3.938476563,3.7578125,3.918945313,3.655273438,3.728515625,4.026367188,3.401367188,3.586914063,3.85546875,3.665039063,3.748046875,control
3.704101563,3.694335938,4.006835938,3.743164063,3.845703125,4.3046875,3.625976563,3.826171875,4.065429688,3.708984375,3.630859375,4.05078125,3.630859375,3.767578125,control
3.494140625,3.640625,3.953125,3.713867188,3.665039063,4.026367188,3.58203125,3.943359375,3.958007813,3.704101563,3.630859375,4.021484375,3.616210938,3.811523438,control
3.62109375,3.518554688,4.084960938,3.71875,3.918945313,3.860351563,3.630859375,3.826171875,4.045898438,3.616210938,3.665039063,4.080078125,3.665039063,3.762695313,control
3.5234375,3.665039063,3.943359375,3.728515625,3.713867188,4.016601563,3.704101563,3.77734375,4.348632813,3.71875,3.655273438,4.109375,3.606445313,3.787109375,control
3.62109375,3.728515625,4.001953125,3.772460938,3.928710938,3.8359375,3.645507813,3.791992188,4.045898438,3.801757813,3.459960938,4.109375,3.66015625,3.77734375,control
3.552734375,3.689453125,3.977539063,3.6796875,3.674804688,4.094726563,3.821289063,3.630859375,4.456054688,3.713867188,3.6796875,4.377929688,3.625976563,3.713867188,control
3.71875,3.572265625,4.065429688,3.8359375,3.884765625,3.948242188,3.630859375,3.81640625,4.05078125,4.294921875,3.54296875,3.987304688,3.674804688,3.787109375,control
3.791992188,3.71875,4.109375,3.5625,3.694335938,4.075195313,3.518554688,4.055664063,4.255859375,3.708984375,3.611328125,4.021484375,3.655273438,3.767578125,control
3.748046875,3.650390625,4.045898438,3.743164063,3.953125,3.89453125,3.625976563,3.821289063,4.041015625,4.104492188,3.435546875,3.997070313,3.645507813,3.796875,control
3.875,3.8359375,4.119140625,3.567382813,3.772460938,4.03125,3.62109375,4.041015625,4.314453125,3.684570313,3.567382813,4.016601563,3.635742188,3.772460938,control
3.459960938,3.6796875,3.967773438,3.689453125,3.635742188,4.270507813,3.97265625,3.411132813,4.3828125,3.494140625,3.342773438,4.158203125,3.665039063,3.7578125,control
3.713867188,3.694335938,4.01171875,3.494140625,3.665039063,3.943359375,3.650390625,3.796875,4.060546875,3.357421875,3.69921875,4.0703125,3.596679688,3.782226563,control
3.391601563,3.743164063,3.850585938,3.748046875,3.811523438,4.016601563,3.640625,3.845703125,4.084960938,3.723632813,3.684570313,4.094726563,3.586914063,3.767578125,control
3.411132813,3.650390625,4.03125,3.831054688,3.918945313,3.884765625,3.630859375,3.791992188,4.05078125,3.650390625,3.337890625,4.124023438,3.62109375,3.748046875,control
3.66015625,3.694335938,4.001953125,3.772460938,3.752929688,4.006835938,3.669921875,3.81640625,4.03125,3.704101563,3.669921875,4.021484375,3.591796875,3.787109375,control
3.723632813,3.6796875,4.021484375,3.723632813,3.782226563,4.021484375,3.650390625,3.948242188,4.05078125,3.713867188,3.728515625,4.1484375,3.630859375,3.728515625,control
3.909179688,3.782226563,3.9921875,3.586914063,3.635742188,4.104492188,3.567382813,4.036132813,4.099609375,3.865234375,3.635742188,3.889648438,3.655273438,3.743164063,control
3.704101563,3.650390625,4.03125,3.870117188,3.528320313,4.045898438,3.650390625,3.796875,4.055664063,4.099609375,3.635742188,4.060546875,3.58203125,3.821289063,control
