Name,life_expectancy,height_male,height_female,weight_male,weight_female,energy,barking,country
1,diez,23.5,23.5,70.0,60.0,,1,Reino Unido
2,catorce,8.5,8.5,24.0,24.0,,5,Alemania
3,diez,23.5,23.5,72.5,62.5,,3,Canadá
4,9,31.0,31.0,157.5,125.0,,3,Alemania
5,diez,24.0,24.0,72.5,57.5,,3,Alemania
6,12,21.5,21.5,57.5,57.5,,3,Croacia
7,catorce,12.5,12.5,12.5,12.5,,4,Francia
8,8,26.0,26.0,120.0,110.0,,1,Reino Unido
9,13,15.0,14.0,17.5,25.0,,4,Reino Unido
10,catorce,20.5,20.5,42.5,42.5,,4,Reino Unido
11,13,22.3,22.25,52.5,42.5,,5,Rusia
12,catorce,9.8,9.75,12.5,12.5,,3,China
13,catorce,6.5,6.5,5.0,5.0,,4,Polonia
14,catorce,11.5,11.5,34.0,29.5,,5,Gales
15,12,29.0,29.0,67.5,62.5,,3,Reino Unido
16,diez,18.5,18.5,57.5,57.5,,1,China
17,diez,19.0,19.0,52.5,52.5,,3,China
18,12,15.0,15.0,27.5,22.5,,3,Reino Unido
19,diez,29.5,29.5,115.0,85.0,,3,Francia
20,catorce,11.0,11.0,17.5,17.5,,5,Reino Unido
21,9,26.3,26.25,97.5,82.5,,3,Suiza
22,13,21.5,21.5,60.0,60.0,,3,Reino Unido
23,diez,28.0,28.0,140.0,110.0,,1,Canadá
24,13,13.5,12.5,52.5,52.5,,4,Francia
25,13,25.0,25.0,67.5,67.5,,3,Alemania
26,catorce,11.5,11.5,16.0,16.0,,1,China
27,12,16.0,16.0,18.5,18.5,,2,Estados Unidos
28,catorce,8.0,8.0,7.7,7.7,,3,Malta
29,15,10.5,10.5,15.0,15.0,,3,Bélgica
30,diez,24.0,22.0,87.5,70.0,,1,Estados Unidos
31,15,6.5,6.5,5.0,5.0,,5,México
32,diez,25.5,25.5,115.0,90.0,,1,Alemania
33,13,23.0,23.0,57.5,49.5,,3,Hungría
34,12,27.0,27.0,115.0,85.0,,2,Japón
35,13,14.5,14.5,20.0,20.0,,5,Reino Unido
36,diez,26.0,26.0,100.0,90.0,,5,Francia
37,catorce,27.0,27.0,70.0,60.0,,3,Irlanda
38,diez,29.0,26.0,120.0,99.0,,3,Hungría
39,12,27.0,27.0,115.0,80.0,,5,Reino Unido
40,diez,26.5,26.5,90.0,90.0,,3,Francia
41,13,24.5,24.5,60.0,60.0,,4,Estados Unidos
42,catorce,26.5,26.5,72.5,65.0,,3,Alemania
43,15,15.5,15.5,23.0,17.0,,3,Japón
44,catorce,9.5,9.5,11.5,11.5,,4,Reino Unido
45,15,26.0,26.0,55.0,55.0,,3,Afganistán
