Name,life_expectancy,height_male,height_female,weight_male,weight_female,energy,barking,country
1,11,23.5,23.5,70.0,60.0,3,1,1
2,14,8.5,8.5,24.0,24.0,3,5,2
3,11,23.5,23.5,72.5,62.5,5,3,3
4,9,31.0,31.0,157.5,125.0,4,3,2
5,11,24.0,24.0,72.5,57.5,4,3,2
6,12,21.5,21.5,57.5,57.5,4,3,4
7,14,12.5,12.5,12.5,12.5,4,4,5
8,8,26.0,26.0,120.0,110.0,4,1,1
9,13,15.0,14.0,17.5,25.0,4,4,1
10,14,20.5,20.5,42.5,42.5,5,4,1
11,13,22.3,22.25,52.5,42.5,5,5,6
12,14,9.8,9.75,12.5,12.5,3,3,7
13,14,6.5,6.5,5.0,5.0,3,4,8
14,14,11.5,11.5,34.0,29.5,4,5,9
15,12,29.0,29.0,67.5,62.5,4,3,1
16,10,18.5,18.5,57.5,57.5,3,1,7
17,10,19.0,19.0,52.5,52.5,3,3,7
18,12,15.0,15.0,27.5,22.5,4,3,1
19,11,29.5,29.5,115.0,85.0,3,3,5
20,14,11.0,11.0,17.5,17.5,4,5,1
21,9,26.3,26.25,97.5,82.5,4,3,10
22,13,21.5,21.5,60.0,60.0,4,3,1
23,10,28.0,28.0,140.0,110.0,3,1,3
24,13,13.5,12.5,52.5,52.5,2,4,5
25,13,25.0,25.0,67.5,67.5,4,3,2
26,14,11.5,11.5,16.0,16.0,3,1,7
27,12,16.0,16.0,18.5,18.5,4,2,11
28,14,8.0,8.0,7.7,7.7,3,3,12
29,15,10.5,10.5,15.0,15.0,4,3,13
30,11,24.0,22.0,87.5,70.0,0,1,11
31,15,6.5,6.5,5.0,5.0,4,5,14
32,10,25.5,25.5,115.0,90.0,3,1,2
33,13,23.0,23.0,57.5,49.5,5,3,15
34,12,27.0,27.0,115.0,85.0,4,2,16
35,13,14.5,14.5,20.0,20.0,4,5,1
36,11,26.0,26.0,100.0,90.0,3,5,5
37,14,27.0,27.0,70.0,60.0,5,3,17
38,11,29.0,26.0,120.0,99.0,3,3,15
39,12,27.0,27.0,115.0,80.0,3,5,1
40,11,26.5,26.5,90.0,90.0,5,3,5
41,13,24.5,24.5,60.0,60.0,5,4,11
42,14,26.5,26.5,72.5,65.0,5,3,2
43,15,15.5,15.5,23.0,17.0,3,3,16
44,14,9.5,9.5,11.5,11.5,4,4,1
45,15,26.0,26.0,55.0,55.0,4,3,18
46,13,19.0,19.0,35.0,35.0,5,3,5
47,14,25.0,25.0,72.5,57.5,3,5,11
48,11,27.0,27.0,87.5,75.0,5,3,2
49,13,7.5,7.5,10.5,10.5,3,1,7
50,14,20.5,20.5,32.5,32.5,4,1,1
51,14,17.0,17.0,24.0,22.0,4,1,19
52,13,11.0,11.0,7.25,7.25,4,3,20
53,14,15.5,15.5,18.0,16.0,4,5,1
54,13,18.0,18.0,42.5,42.5,3,3,1
55,15,10.0,10.0,10.0,10.0,3,4,21
56,11,9.5,9.5,9.0,9.0,3,2,16
57,14,18.0,18.0,40.0,40.0,4,4,22
58,14,25.0,25.0,55.0,55.0,4,3,11
59,15,14.0,14.0,14.0,14.0,3,3,11
60,14,24.0,24.0,57.5,57.5,4,3,11
61,12,16.5,16.5,37.5,32.5,3,3,11
62,12,29.0,29.0,130.0,100.0,3,3,23
63,13,21.8,21.75,50.0,50.0,3,3,5
64,14,23.5,23.5,77.0,64.0,3,1,20
65,13,24.5,24.5,60.0,60.0,4,2,5
66,10,25.5,25.5,175.0,175.0,3,3,24
67,12,31.5,29.0,90.0,72.5,4,2,6
68,12,24.0,24.0,72.5,72.5,4,2,20
69,11,26.3,26.25,104.5,93.5,4,3,20
70,17,10.5,10.5,12.0,10.5,3,1,25
71,15,9.5,9.5,7.5,7.5,4,5,5
72,13,22.5,22.5,55.0,47.5,0,0,11
73,13,17.3,17.25,28.0,23.0,5,3,15
74,16,22.0,22.0,44.0,44.0,4,3,14
75,11,28.0,26.0,120.0,95.0,3,3,26
76,13,22.3,22.25,55.0,42.5,4,5,6
77,13,12.0,12.0,13.0,13.0,3,4,13
78,11,26.0,26.0,85.0,70.0,3,2,27
79,13,9.5,9.5,4.95,4.95,3,4,6
80,13,19.5,19.5,42.5,42.5,5,2,3
81,13,16.8,16.75,23.5,23.5,5,4,15
82,15,27.0,27.0,115.0,85.0,4,0,11
83,14,20.0,20.0,40.0,40.0,4,3,28
84,14,18.0,18.0,27.0,25.0,3,3,17
85,15,14.0,14.0,10.5,10.5,3,3,20
86,12,25.5,25.5,77.5,77.5,3,1,2
87,14,12.5,12.5,15.5,15.5,3,3,1
88,12,25.0,25.0,85.0,75.0,4,3,11
89,14,19.0,19.0,42.5,42.5,5,1,29
90,14,11.3,11.25,9.0,9.0,5,5,2
91,15,25.0,25.0,70.0,50.0,4,3,13
92,13,15.0,15.0,33.0,29.0,4,3,1
93,14,18.5,18.5,62.5,47.5,3,3,11
94,14,21.5,21.5,57.5,47.5,5,3,11
95,13,11.0,11.0,27.5,26.0,4,4,1
96,13,7.5,7.5,7.0,7.0,4,4,1
97,11,12.0,12.0,24.0,22.0,3,1,5
84,14,18.0,18.0,27.0,25.0,3,3,17
34,12,27.0,27.0,115.0,85.0,4,2,16
1,11,23.5,23.5,70.0,60.0,3,1,1
96,13,7.5,7.5,7.0,7.0,4,4,1
96,13,7.5,7.5,7.0,7.0,4,4,1
1,11,23.5,23.5,70.0,60.0,3,1,1
